No,PM2.5
0,17.92044
1,22.18956
2,18.290405
3,19.603168
4,21.391699
5,21.122335
6,23.692444
7,32.204407
8,23.528137
9,30.052742
10,21.062088
11,19.75747
12,16.477571
13,22.125526
14,14.933828
15,17.20337
16,12.24337
17,13.440876
18,14.187805
19,13.261949
20,12.325903
21,13.047486
22,9.1257715
23,11.668897
24,12.057348
25,11.209104
26,11.197294
27,10.54255
28,11.578346
29,10.048332
30,13.567633
31,15.220138
32,12.48286
33,16.317087
34,15.485335
35,15.978059
36,15.769113
37,17.049248
38,19.107222
39,13.719407
40,15.893355
41,16.203964
42,16.14421
43,17.390549
44,12.934208
45,12.858164
46,10.538415
47,15.030093
48,14.684388
49,9.550954
50,9.816324
51,9.622324
52,10.894056
53,10.750248
54,12.620826
55,10.347563
56,12.07846
57,10.435202
58,12.631441
59,18.119904
60,17.342442
61,15.678349
62,24.04266
63,19.1096
64,19.44133
65,17.15948
66,10.69723
67,16.921492
68,16.463196
69,13.931238
70,12.455409
71,12.499298
72,14.659748
73,12.783211
74,14.601856
75,11.991679
76,15.713117
77,15.940544
78,12.410125
79,14.667228
80,13.0674
81,13.143689
82,17.071331
83,12.717284
84,11.326334
85,12.9382305
86,11.671609
87,10.871742
88,11.41786
89,10.703232
90,12.435299
91,10.034686
92,10.74578
93,9.670571
94,10.0867195
95,10.147658
96,8.297515
97,9.164453
98,9.554566
99,10.008325
100,10.737225
101,9.719301
102,9.606748
103,9.821049
104,10.682197
105,9.176946
106,9.685374
107,8.215056
108,10.9746065
109,12.104664
110,11.907519
111,10.279167
112,7.784963
113,7.71905
114,10.315706
115,7.8145976
116,8.54495
117,8.175433
118,7.550083
119,6.763835
120,5.7592406
121,9.652575
122,8.023311
123,6.0837293
124,6.724732
125,8.551346
126,8.681675
127,8.673053
128,6.93033
129,8.296098
130,9.087121
131,9.887981
132,8.643491
133,10.162764
134,10.606507
135,9.666684
136,9.596889
137,9.377411
138,8.072467
139,8.406197
140,7.7316957
141,8.9072895
142,9.99855
143,6.8202634
144,11.859435
145,9.727707
146,6.485863
147,11.963025
148,10.790602
149,9.735586
150,9.21356
151,9.957815
152,10.386775
153,9.790817
154,10.606895
155,10.145817
156,9.510553
157,9.208155
158,9.882114
159,11.650917
160,12.010447
161,10.444056
162,10.877757
163,9.843296
164,11.481252
165,11.733186
166,10.235391
167,12.063491
168,14.694945
169,12.904797
170,14.206435
171,12.037265
172,9.652343
173,12.694529
174,11.000543
175,9.5068035
176,8.156164
177,6.919212
178,11.565552
179,12.80388
180,7.567474
181,9.356335
182,11.311411
183,10.770173
184,11.382539
185,12.517479
186,12.647583
187,14.291151
188,9.755774
189,8.840145
190,9.594507
191,8.952145
192,5.481031
193,7.8708625
194,10.050079
195,11.655283
196,15.765915
197,18.232454
198,11.946057
199,12.564434
200,14.601484
201,11.083668
202,13.61856
203,13.226708
204,14.548795
205,16.908855
206,15.555997
207,15.855717
208,19.286257
209,17.309008
210,14.720848
211,23.635359
212,9.120391
213,11.45417
214,16.361588
215,9.570937
216,11.612062
217,12.15867
218,12.8451185
219,11.565384
220,10.930726
221,9.462172
222,9.281786
223,6.616969
224,8.169539
225,10.1425495
226,8.833885
227,4.9430537
228,8.902101
229,11.972714
230,13.294642
231,10.616328
232,9.683521
233,10.292383
234,9.889837
235,10.318707
236,11.634412
237,12.768163
238,12.30697
239,9.97999
240,12.586141
241,12.674264
242,10.505137
243,10.912222
244,10.581146
245,9.765505
246,10.618151
247,12.37614
248,10.088902
249,9.585908
250,11.9360695
251,10.586302
252,9.028544
253,10.020337
254,10.021278
255,13.521699
256,19.565401
257,16.85791
258,10.6544285
259,16.415434
260,13.707855
261,10.39897
262,9.200803
263,12.310366
264,13.512669
265,7.9250226
266,9.884294
267,9.85983
268,10.9812355
269,11.725647
270,10.390872
271,11.404769
272,13.788983
273,11.56419
274,12.6203375
275,18.335379
276,16.297686
277,9.442766
278,12.501624
279,12.86746
280,10.13448
281,14.330739
282,11.089988
283,9.36162
284,10.10007
285,17.032303
286,11.078735
287,15.791033
288,15.312698
289,13.516167
290,16.496183
291,10.859007
292,13.022466
293,14.886407
294,11.05629
295,12.275828
296,12.687763
297,11.097684
298,13.328907
299,12.84173
300,15.362568
301,16.947687
302,12.527552
303,7.6263533
304,5.5319977
305,5.803602
306,4.999972
307,2.4215145
308,1.7967768
309,3.8335292
310,2.1910605
311,7.2852845
312,4.9143176
313,7.3141055
314,6.2671633
315,6.8231564
316,8.657878
317,8.922982
318,9.475037
319,11.127847
320,12.945543
321,11.8390045
322,9.171314
323,11.415538
324,10.936265
325,10.898025
326,8.0924
327,8.743741
328,13.917301
329,18.175146
330,12.232463
331,22.695684
332,13.638506
333,14.292304
334,14.337281
335,14.581411
336,12.12685
337,11.242869
338,10.225417
339,15.544239
340,25.605167
341,26.584293
342,22.363743
343,19.512896
344,15.769194
345,23.545006
346,11.317625
347,15.793714
348,11.983653
349,15.061247
350,15.036765
351,20.241838
352,18.97621
353,19.101992
354,21.872047
355,22.975124
356,30.401833
357,32.155277
358,34.146896
359,31.297384
360,32.182487
361,23.575975
362,19.17196
363,15.99064
364,30.159863
365,26.807104
366,31.175337
367,25.52925
368,17.561937
369,24.332153
370,18.855505
371,26.87778
372,32.665646
373,33.88373
374,29.217234
375,31.263803
376,29.239864
377,33.662647
378,33.50528
379,30.808895
380,12.669364
381,23.33464
382,23.549053
383,18.017933
384,14.147534
385,14.062171
386,16.484768
387,14.949067
388,17.45403
389,15.808942
390,25.469782
391,23.28145
392,31.865356
393,33.8394
394,32.90097
395,31.02865
396,27.6055
397,13.915283
398,12.780096
399,25.702394
400,17.09442
401,12.987206
402,16.309536
403,17.603306
404,19.174633
405,18.107103
406,16.141802
407,18.705456
408,16.739048
409,18.229914
410,15.546494
411,16.52294
412,14.886346
413,13.453782
414,13.359454
415,13.924301
416,12.283242
417,14.659748
418,14.115129
419,13.937804
420,10.810814
421,9.629358
422,11.025051
423,18.406631
424,12.12762
425,11.685112
426,9.1359415
427,5.984302
428,10.962479
429,11.287184
430,9.019406
431,7.1089325
432,6.744701
433,7.9019294
434,9.835903
435,8.862311
436,9.013105
437,7.166604
438,4.039363
439,8.84884
440,6.8836193
441,9.738097
442,8.447989
443,8.325543
444,10.961046
445,11.74159
446,9.474463
447,8.200705
448,8.4556465
449,10.320747
450,11.736388
451,10.642256
452,9.847014
453,10.517672
454,10.690616
455,8.326033
456,9.739158
457,8.102157
458,8.305228
459,10.457674
460,7.8757477
461,12.392716
462,17.397398
463,25.454277
464,21.920834
465,11.9823675
466,14.673032
467,16.392818
468,14.540778
469,12.973762
470,19.915302
471,16.42778
472,19.988758
473,16.021145
474,23.40096
475,34.6049
476,25.141476
477,28.399612
478,29.180458
479,23.744823
480,31.18
481,33.174034
482,34.075726
483,34.36292
484,34.702892
485,33.021767
486,18.565578
487,13.150683
488,13.3083515
489,6.8063188
490,7.0286975
491,6.8232427
492,5.563148
493,3.273357
494,6.3748636
495,5.9814262
496,4.253692
497,5.1522737
498,4.4777026
499,4.3482566
500,3.1179943
501,3.3250396
502,4.8608346
503,6.6481028
504,5.1070657
505,5.545002
506,3.6324093
507,4.3099985
508,4.709458
509,7.764915
510,8.270873
511,6.719322
512,5.280034
513,9.180025
514,12.649729
515,9.894378
516,9.169449
517,17.320396
518,15.703982
519,19.311653
520,16.349329
521,16.463682
522,15.983439
523,16.022633
524,15.930459
525,19.562372
526,18.107103
527,17.441969
528,26.230217
529,15.185188
530,19.775915
531,16.667654
532,15.455642
533,18.38459
534,19.194468
535,19.75124
536,21.14677
537,15.980826
538,17.27562
539,12.978897
540,13.463243
541,15.153868
542,11.782852
543,18.527102
544,19.653833
545,15.806734
546,15.491899
547,24.420021
548,16.86365
549,13.036242
550,15.643862
551,18.334309
552,16.37945
553,16.49373
554,13.739306
555,18.388292
556,15.377424
557,12.253576
558,12.715758
559,13.163946
560,17.42459
561,22.75767
562,18.523289
563,18.551157
564,18.649855
565,13.734821
566,14.99194
567,25.300318
568,15.731325
569,17.365675
570,20.988058
571,36.580284
572,25.154728
573,15.30821
574,16.17067
575,22.864376
576,25.440834
577,20.155008
578,15.256899
579,16.707207
580,10.994339
581,16.816893
582,14.505416
583,12.134819
584,10.141356
585,11.858337
586,11.559594
587,12.271664
588,11.062952
589,10.085142
590,9.463378
591,8.162028
592,9.526933
593,10.629899
594,3.1146262
595,8.279991
596,5.6867204
597,7.4395785
598,8.034253
599,5.9938617
600,6.910513
601,6.5186386
602,8.504725
603,7.1061225
604,6.1454616
605,7.5032845
606,6.6012025
607,6.866877
608,7.8432093
609,10.9750185
610,8.386567
611,12.494661
612,9.775781
613,9.881571
614,9.701959
615,10.28858
616,10.602697
617,11.577656
618,10.059502
619,10.223171
620,10.69403
621,11.734719
622,10.411378
623,11.21595
624,10.229071
625,10.739691
626,10.229071
627,9.843296
628,11.2907
629,10.229071
630,13.106121
631,10.899961
632,11.523986
633,9.593926
634,9.693844
635,8.456982
636,11.383346
637,13.744304
638,12.078217
639,7.6821213
640,10.1967745
641,11.561268
642,8.341621
643,8.923314
644,9.185483
645,7.199344
646,5.1986966
647,5.862489
648,7.6143017
649,7.182854
650,12.155477
651,6.619539
652,5.7717957
653,6.7765417
654,6.032878
655,6.307966
656,8.182645
657,10.349381
658,9.970369
659,9.122654
660,7.703416
661,9.398831
662,10.685115
663,10.232134
664,9.716067
665,11.222859
666,11.109077
667,16.515028
668,18.464815
669,14.615441
670,11.0675
671,13.781927
672,14.835534
673,16.228853
674,16.232868
675,14.689504
676,18.835905
677,19.975693
678,18.294266
679,19.648237
680,16.3903
681,15.029315
682,16.956978
683,13.382995
684,14.300239
685,18.165571
686,16.290442
687,13.465025
688,12.360255
689,13.930015
690,12.800333
691,12.884812
692,16.18943
693,13.054499
694,19.44084
695,15.702734
696,18.100672
697,19.676897
698,21.630243
699,30.852303
700,24.718801
701,26.958027
702,29.709242
703,26.200249
704,33.86038
705,26.816078
706,32.99178
707,28.750502
708,28.699738
709,30.001455
710,32.054253
711,29.101633
712,31.039139
713,25.580112
714,27.467924
715,28.775055
716,22.143908
717,22.24544
718,18.308723
719,18.18044
720,18.409313
721,14.916996
722,19.651752
723,19.41772
724,11.116393
725,16.589064
726,19.332254
727,18.738424
728,16.470676
729,13.893637
730,12.761907
731,13.927477
732,17.1565
733,13.86377
734,14.049135
735,10.617278
736,9.417251
737,8.830839
